FLOOD_HEIGHT,RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,ELEVATION,SLOPE
19,57.4,31.5,23.5,27.5,1,270,4.479,6.391
7,57,31.1,23.4,27.3,2,70,1.476,1.838
6,57,31.1,23.4,27.3,2,70,0.792,9.19
10,57,31.1,23.4,27.3,2,70,1.585,0.308
12,57,31.1,23.4,27.3,2,70,0.833,1.322
11,57,31.1,23.4,27.3,2,70,1.492,1.742
7,30.6,30,24.8,27.4,2,110,1.843,1.557
8,30.6,30,24.8,27.4,2,110,2.851,5.625
7,30.6,30,24.8,27.4,2,110,0.84,0.135
8,11.5,30.3,24,27.2,2,130,2.013,0.74
7,30.6,30,24.8,27.4,2,110,1.312,4.54
20,70.3,33.2,22.2,27.7,1,220,41.197,3.333
40,70.3,33.2,22.2,27.7,1,220,6.107,1.072
20,70.3,33.2,22.2,27.7,1,220,3.185,27.813
20,38.8,31.8,25.6,28.7,3,250,2.529,0.398
20,70.3,33.2,22.2,27.7,1,220,45.252,0.482
24,70.3,33.2,22.2,27.7,1,220,1.402,1.09
8,38.8,31.8,25.6,28.7,3,250,0.251,0.573
14,38.8,31.8,25.6,28.7,3,250,-0.105,1.364
6,38.8,31.8,25.6,28.7,3,250,0.102,0.828
28,38.8,31.8,25.6,28.7,3,250,1.96,1.64
5,38.8,31.8,25.6,28.7,3,250,3.404,3.532
36,38.8,31.8,25.6,28.7,3,250,3.123,1.239
20,38.8,31.8,25.6,28.7,3,250,0.686,0.095
25,38.8,31.8,25.6,28.7,3,250,0.792,0.324
21,70.3,33.2,22.2,27.7,1,220,13.578,1.328
50,70.3,33.2,22.2,27.7,1,220,8.152,1.318
18,70.3,33.2,22.2,27.7,1,220,6.762,0.593
40,70.3,33.2,22.2,27.7,1,220,6.667,13.078
15,70.3,33.2,22.2,27.7,1,220,6.27,1.224
36,38.8,31.8,25.6,28.7,3,250,1.186,0.614
30,38.8,31.8,25.6,28.7,3,250,0.965,1.748
20,70.3,33.2,22.2,27.7,1,220,16.63,3.155
18,70.3,33.2,22.2,27.7,1,220,17.925,1.574
6,38.8,31.8,25.6,28.7,3,250,0.755,1.07
25,38.8,31.8,25.6,28.7,3,250,0.816,0.194
18,38.8,31.8,25.6,28.7,3,250,9.072,0.828
10,42,29.6,24.1,26.9,3,210,2.056,1.001
10,279.5,29.5,23.5,26.5,5,220,1.168,0.531
10,279.5,29.5,23.5,26.5,5,220,0.833,1.091
8,174.3,28.1,23,25.5,2,220,33.088,0.782
8,174.3,28.1,23,25.5,2,220,38.166,1.135
20,174.3,28.1,23,25.5,2,220,21.059,1.894
38,174.3,28.1,23,25.5,2,220,5.522,1.832
20,174.3,28.1,23,25.5,2,220,9.674,2.346
37,249,28.6,23.5,26,3,210,3.553,2.681
37,279.5,29.5,23.5,26.5,5,220,0.492,4.761
12,249,28.6,23.5,26,3,210,2.834,12.93
10,279.5,29.5,23.5,26.5,5,220,1.241,0.368
10,279.5,29.5,23.5,26.5,5,220,1.497,0.747
20,249,28.6,23.5,26,3,210,5.416,0.73
12,249,28.6,23.5,26,3,210,4.261,1.395
20,290,27,23.4,25.2,3,200,0.814,1.093
37,326.5,26,23.2,24.6,2,240,15.766,7.492
20,290,27,23.4,25.2,3,200,2.836,0.331
20,290,27,23.4,25.2,3,200,2.124,0.412
10,290,27,23.4,25.2,3,200,0.985,0.332
8,290,27,23.4,25.2,3,200,0.645,1.793
12,290,27,23.4,25.2,3,200,0.562,0.442
6,290,27,23.4,25.2,3,200,0.728,2.216
6,290,27,23.4,25.2,3,200,3.045,0.873
20,290,27,23.4,25.2,3,200,2.18,1.017
20,290,27,23.4,25.2,3,200,3.731,1.975
10,290,27,23.4,25.2,3,200,3.472,1.58
30,290,27,23.4,25.2,3,200,1.011,3.279
10,290,27,23.4,25.2,3,200,1.321,1.031
10,290,27,23.4,25.2,3,200,1.296,0.629
20,105.5,26,23.6,24.8,1,220,3.487,46.074
15,290,27,23.4,25.2,3,200,0.912,3.1
25,290,27,23.4,25.2,3,200,1.056,1.152
11,290,27,23.4,25.2,3,200,0.956,1.465
20,290,27,23.4,25.2,3,200,0.71,1.507
20,290,27,23.4,25.2,3,200,1.094,1.643
20,326.5,26,23.2,24.6,2,240,4.347,2.536
14,290,27,23.4,25.2,3,200,2.688,2.446
12,290,27,23.4,25.2,3,200,3.217,0.83
12,290,27,23.4,25.2,3,200,2.553,1.433
20,326.5,26,23.2,24.6,2,240,-1,-1
30,105.5,26,23.6,24.8,1,220,8.359,1.644
20,326.5,26,23.2,24.6,2,240,3.312,1.538
37,290,27,23.4,25.2,3,200,0.616,0.267
8,326.5,26,23.2,24.6,2,240,4.375,1.182
20,290,27,23.4,25.2,3,200,4.721,0.353
19,105.5,26,23.6,24.8,1,220,2.681,2.973
19,326.5,26,23.2,24.6,2,240,33.638,5.647
5,105.5,26,23.6,24.8,1,220,9.612,0.812
16,290,27,23.4,25.2,3,200,-0.305,0.638
10,290,27,23.4,25.2,3,200,0.41,1.966
18,326.5,26,23.2,24.6,2,240,2.094,0.351
8,290,27,23.4,25.2,3,200,1.044,1.053
25,105.5,26,23.6,24.8,1,220,4.355,0.501
20,326.5,26,23.2,24.6,2,240,-1,-1
19,326.5,26,23.2,24.6,2,240,9.793,2.127
8,326.5,26,23.2,24.6,2,240,2.453,6.243
19,105.5,26,23.6,24.8,1,220,2.791,6.447
60,128.5,26.5,23.5,25,2,220,1.474,0.305
19,128.5,26.5,23.5,25,2,220,1.497,1.905
19,225.7,26.2,23,24.6,1,220,7.337,2.285
20,128.5,26.5,23.5,25,2,220,1.729,1.239
19,225.7,26.2,23,24.6,1,220,3.374,0.555
37,225.7,26.2,23,24.6,1,220,0.879,0.449
12,225.7,26.2,23,24.6,1,220,72.288,14.058
8,119.2,27.6,23.2,25.4,3,70,1.727,1.768
20,119.2,27.6,23.2,25.4,3,70,1.487,0.579
20,119.2,27.6,23.2,25.4,3,70,3.199,0.927
20,225.7,26.2,23,24.6,1,220,9.536,1.167
20,128.5,26.5,23.5,25,2,220,2.821,0.137
45,119.2,27.6,23.2,25.4,3,70,0.905,2.193
20,10,29.3,25,27.2,3,220,3.167,1.713
19,16.6,28.8,24.9,26.9,1,220,15.977,1.733
6,10,29.3,25,27.2,3,220,0.434,3.848
30,10,29.3,25,27.2,3,220,0.601,0.421
19,10,29.3,25,27.2,3,220,1.183,5.837
20,7,30.1,24.2,27.2,3,260,2.547,0.878
6,16.6,28.8,24.9,26.9,1,220,13.103,2.402
22,16.6,28.8,24.9,26.9,1,220,0.138,3.041
29,16.6,28.8,24.9,26.9,1,220,-1,-1
35,4.2,30,24.7,27.4,1,270,11.42,1.827
13,4.2,30,24.7,27.4,1,270,-0.35,2.493
13,0,31.9,25.1,28.5,1,220,32.904,1.437
6,0,33,24.6,28.8,1,290,33.245,0.631
30,0,35.2,27.5,31.4,2,140,1.745,1.701
6,0,35.2,27.5,31.4,2,140,33.141,2.891
6,0,35.2,27.5,31.4,2,140,15.227,2.23
10,0,33.4,26.3,29.9,2,270,0.826,0.943
8,0,33.4,26.3,29.9,2,270,0.797,0.322
10,0,33.4,26.3,29.9,2,270,0.849,0.448
6,0,33.4,26.3,29.9,2,270,0.714,0.718
6,0,33,24.6,28.8,1,290,37.778,2.755
8,18.9,35,24.2,29.6,1,340,33.278,0.257
8,18.9,35,24.2,29.6,1,340,40.171,1.719
8,18.9,35,24.2,29.6,1,340,32.361,0.262
8,18.9,35,24.2,29.6,1,340,15.628,0.705
24,17,31,25,28,2,250,3.266,8.61
7,16.2,32.1,23.4,27.8,1,270,40.867,0.81
7,16.2,32.1,23.4,27.8,1,270,33.087,0.502
37,16.2,32.1,23.4,27.8,1,270,4.8,1.447
7,16.2,32.1,23.4,27.8,1,270,40.027,4.984
7,19.5,31,23.4,27.2,2,270,0.782,1.859
7,16.2,32.1,23.4,27.8,1,270,41.885,2.053
7,16.2,32.1,23.4,27.8,1,270,34.239,1.989
7,16.2,32.1,23.4,27.8,1,270,37.297,0.234
7,19.5,31,23.4,27.2,2,270,2.943,0.875
7,16.2,31.3,24.3,27.8,1,270,40.267,0.249
12,16.2,31.3,24.3,27.8,1,270,47.163,1.505
7,16.2,31.3,24.3,27.8,1,270,36.791,4.317
17,16.2,31.3,24.3,27.8,1,270,11.963,1.312
17,16.2,31.3,24.3,27.8,1,270,3.912,2.283
10,16.2,31.3,24.3,27.8,1,270,4.244,1.633
28,16.2,31.3,24.3,27.8,1,270,8.323,4.201
10,100.8,33.3,24.5,28.9,2,320,48.367,0.871
10,100.8,33.3,24.5,28.9,2,320,40.667,3.958
12,100.8,33.3,24.5,28.9,2,320,45.379,2.667
12,100.8,33.3,24.5,28.9,2,320,40.643,0.06
24,100.8,33.3,24.5,28.9,2,320,6.166,41.37
24,99,28.8,23.5,26.2,2,270,2.767,1.016
24,99,28.8,23.5,26.2,2,270,2.582,1.803
11,99,28.8,23.5,26.2,2,270,6.432,2.864
37,78.8,29,23.6,26.3,1,200,8.076,6.162
8,92.2,29.6,24,26.8,3,250,3.12,0.399
37,78.8,29,23.6,26.3,1,200,5.702,5.214
19,78.8,29,23.6,26.3,1,200,3.72,1.87
37,78.8,29,23.6,26.3,1,200,4.829,0.812
20,25.1,28.7,24.4,26.5,1,160,5.703,0.66
10,0,30.7,25.7,28.2,2,220,1.319,1.831
14,0,30.3,26.5,28.4,5,250,2.012,0.004
20,7.5,30.2,25.6,27.9,9,250,5.26,4.683
20,167.5,26.5,24,25.3,6,250,0.692,1.022
20,49.1,25.5,23.5,24.5,1,140,6.211,2.384
37,49.1,25.5,23.5,24.5,1,140,5.02,1.748
8,66,27.5,22.4,25,2,270,0.523,1.268
8,49.1,25.5,23.5,24.5,1,140,15.795,2.027
37,49.5,26.3,23.5,24.9,1,320,31.384,0.64
24,66,27.5,22.4,25,2,270,0.945,2.567
30,66,27.5,22.4,25,2,270,0.991,5.413
25,49.1,25.5,23.5,24.5,1,140,3.765,1.123
6,66,27.5,22.4,25,2,270,0.815,1.244
14,49.1,25.5,23.5,24.5,1,140,8.346,2.557
14,49.1,25.5,23.5,24.5,1,140,15.44,1.442
45,49.1,25.5,23.5,24.5,1,140,5.441,0.435
18,66,27.5,22.4,25,2,270,0.227,3.651
12,66,27.5,22.4,25,2,270,1.286,0.479
12,49.1,25.5,23.5,24.5,1,140,60.516,2.648
12,66,27.5,22.4,25,2,270,0.828,0.536
26,66,27.5,22.4,25,2,270,-0.17,0.476
8,49.5,26.3,23.5,24.9,1,320,1.411,0.586
5,49.1,25.5,23.5,24.5,1,140,27.453,2.26
32,66,27.5,22.4,25,2,270,3.306,1.105
37,49.5,26.3,23.5,24.9,1,320,-1,-1
27,66,27.5,22.4,25,2,270,2.254,0.918
8,49.1,25.5,23.5,24.5,1,140,1.403,1.245
12,66,27.5,22.4,25,2,270,1.363,0.63
12,66,27.5,22.4,25,2,270,1.119,1.271
20,66,27.5,22.4,25,2,270,0.885,1.621
25,66,27.5,22.4,25,2,270,-0.299,4.812
26,66,27.5,22.4,25,2,270,1.914,0.155
15,49.1,25.5,23.5,24.5,1,140,15.701,0.937
8,66,27.5,22.4,25,2,270,2.102,0.555
16,66,27.5,22.4,25,2,270,1.68,0.661
8,35.5,32.4,24.3,28.4,2,120,-1,-1
20,2.5,32.6,25.7,29.2,3,260,5.296,1.472
11,55.5,31.1,24.1,27.6,2,220,2.72,0.368
20,55.5,31.1,24.1,27.6,2,220,1.763,0.41
5,54.4,32.6,24.2,28.4,1,320,42.08,1.9
10,54.4,32.6,24.2,28.4,1,320,49.285,1.208
40,71.5,31.2,22.7,27,3,260,5,6.668
37,54.4,32.6,24.2,28.4,1,320,3.05,0.308
18,54.4,32.6,24.2,28.4,1,320,52.822,2.1
16,16,32,24.5,28.3,3,250,2.643,0.882
5,71.5,31.2,22.7,27,3,260,9.948,1.46
7,71.5,31.2,22.7,27,3,260,2.875,0.699
37,71.5,31.2,22.7,27,3,260,12.493,2.555
18,54.4,32.6,24.2,28.4,1,320,3.888,0.788
5,54.4,32.6,24.2,28.4,1,320,40.487,1.598
15,11.2,29,24.8,26.9,4,180,0.3,1.476
8,11.2,29,24.8,26.9,4,180,1.484,0.849
8,11.2,29,24.8,26.9,4,180,1.721,0.226
8,11.2,29,24.8,26.9,4,180,1.67,0.598
7,74.1,31.6,24.5,28,1,220,31.86,1.089
7,74.1,31.6,24.5,28,1,220,40.937,0.81
7,74.1,31.6,24.5,28,1,220,21.115,0.684
12,74.1,31.6,24.5,28,1,220,9.824,6.253
25,74.1,31.6,24.5,28,1,220,36.52,0.885
19,78,31,24,27.5,3,250,3.84,1.088
15,74.1,31.6,24.5,28,1,220,4.326,0.379
24,74.1,31.6,24.5,28,1,220,1.892,0.153
14,74.1,31.6,24.5,28,1,220,36.067,0.74
7,-999,36.6,24.1,30.35,2,110,16.224,1.342
7,14.5,35.2,25.2,30.2,1,320,5.466,0.376
7,14.5,35.2,25.2,30.2,1,320,31.9,10.969
7,14.5,35.2,25.2,30.2,1,320,37.699,1.226
7,14.5,35.2,25.2,30.2,1,320,39.03,0.604
18,10,35,25,30,2,320,2.474,0.583
7,14.5,35.2,25.2,30.2,1,320,5.997,2.488
7,10,35,25,30,2,320,0.884,1.428
7,10,35,25,30,2,320,0.854,0.948
7,10,35,25,30,2,320,-1,-1
7,-999,36.6,24.1,30.35,2,110,2.647,0.455
7,-999,36.6,24.1,30.35,2,110,9.579,0.951
7,14.5,35.2,25.2,30.2,1,320,4.722,3.848
7,-999,36.6,24.1,30.35,2,110,10.892,2.288
7,14.5,35.2,25.2,30.2,1,320,50.445,0.891
7,14.5,35.2,25.2,30.2,1,320,9.491,1.865
